Java HotSpot(TM) 64-Bit Server VM (25.261-b25) for linux-amd64 JRE (1.8.0_261-b25), built on Jun 18 2020 01:36:43 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 99188216k(4447144k free), swap 33550328k(33422744k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=12884901888 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-06-29T14:13:05.765-0400: 4803.910: [GC (Allocation Failure) [PSYoungGen: 819670K->33828K(812544K)] 1363469K->581820K(2570240K), 0.0246029 secs] [Times: user=0.12 sys=0.00, real=0.02 secs] 
2022-06-29T14:13:37.672-0400: 4835.818: [GC (Metadata GC Threshold) [PSYoungGen: 297835K->28858K(785920K)] 845827K->580405K(2543616K), 0.0206344 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2022-06-29T14:13:37.693-0400: 4835.838: [Full GC (Metadata GC Threshold) [PSYoungGen: 28858K->0K(785920K)] [ParOldGen: 551546K->373130K(2555904K)] 580405K->373130K(3341824K), [Metaspace: 268098K->266979K(1292288K)], 0.8485518 secs] [Times: user=3.64 sys=0.06, real=0.85 secs] 
2022-06-29T14:14:42.266-0400: 4900.412: [GC (Allocation Failure) [PSYoungGen: 756736K->11365K(810496K)] 1129866K->384495K(3366400K), 0.0193234 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2022-06-29T14:15:02.852-0400: 4920.998: [GC (Allocation Failure) [PSYoungGen: 765541K->11820K(813056K)] 1138671K->384959K(3368960K), 0.0146300 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2022-06-29T14:15:17.011-0400: 4935.157: [GC (Allocation Failure) [PSYoungGen: 765996K->20113K(822272K)] 1139135K->393260K(3378176K), 0.0229259 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2022-06-29T14:15:27.299-0400: 4945.444: [GC (Allocation Failure) [PSYoungGen: 781969K->16604K(821760K)] 1155116K->389751K(3377664K), 0.0179122 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2022-06-29T14:16:19.569-0400: 4997.714: [GC (Allocation Failure) [PSYoungGen: 778460K->14389K(829440K)] 1151607K->387543K(3385344K), 0.0156209 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2022-06-29T14:16:42.480-0400: 5020.626: [GC (Allocation Failure) [PSYoungGen: 786997K->25576K(832000K)] 1160151K->398730K(3387904K), 0.0214568 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2022-06-29T14:17:07.447-0400: 5045.593: [GC (Allocation Failure) [PSYoungGen: 798184K->27883K(834048K)] 1171338K->401046K(3389952K), 0.0237293 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2022-06-29T14:17:37.013-0400: 5075.159: [GC (Allocation Failure) [PSYoungGen: 811243K->28551K(837120K)] 1184406K->401722K(3393024K), 0.0193876 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2022-06-29T14:19:04.962-0400: 5163.107: [GC (Allocation Failure) [PSYoungGen: 811911K->32522K(840192K)] 1185082K->405693K(3396096K), 0.0253029 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
2022-06-29T14:20:40.450-0400: 5258.595: [GC (Allocation Failure) [PSYoungGen: 824586K->34684K(842752K)] 1197757K->407855K(3398656K), 0.0217112 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2022-06-29T14:22:33.106-0400: 5371.252: [GC (Allocation Failure) [PSYoungGen: 826748K->37192K(849920K)] 1199919K->410371K(3405824K), 0.0348238 secs] [Times: user=0.14 sys=0.01, real=0.04 secs] 
2022-06-29T14:24:11.897-0400: 5470.043: [GC (Allocation Failure) [PSYoungGen: 835912K->33880K(850432K)] 1209091K->407059K(3406336K), 0.0189666 secs] [Times: user=0.12 sys=0.00, real=0.02 secs] 
2022-06-29T14:26:44.419-0400: 5622.564: [GC (Allocation Failure) [PSYoungGen: 832600K->37211K(855040K)] 1205779K->410390K(3410944K), 0.0274990 secs] [Times: user=0.15 sys=0.00, real=0.03 secs] 
2022-06-29T14:28:44.896-0400: 5743.042: [GC (Allocation Failure) [PSYoungGen: 841051K->31976K(855552K)] 1214230K->405155K(3411456K), 0.0240422 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2022-06-29T14:30:29.346-0400: 5847.491: [GC (Allocation Failure) [PSYoungGen: 835816K->33601K(856064K)] 1208995K->406780K(3411968K), 0.0239396 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2022-06-29T14:32:23.085-0400: 5961.231: [GC (Allocation Failure) [PSYoungGen: 841537K->35596K(857088K)] 1214716K->409868K(3412992K), 0.0294392 secs] [Times: user=0.15 sys=0.00, real=0.03 secs] 
2022-06-29T14:32:34.372-0400: 5972.518: [GC (Allocation Failure) [PSYoungGen: 843532K->36541K(860672K)] 1217804K->410917K(3416576K), 0.0249842 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2022-06-29T14:32:41.834-0400: 5979.980: [GC (GCLocker Initiated GC) [PSYoungGen: 848573K->48609K(860672K)] 1223511K->427412K(3416576K), 0.0245142 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2022-06-29T14:33:15.363-0400: 6013.508: [GC (Allocation Failure) [PSYoungGen: 860641K->51283K(879616K)] 1239445K->430335K(3435520K), 0.0299836 secs] [Times: user=0.17 sys=0.02, real=0.03 secs] 
2022-06-29T14:34:09.694-0400: 6067.839: [GC (Allocation Failure) [PSYoungGen: 876115K->50606K(883712K)] 1255167K->429666K(3439616K), 0.0246561 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2022-06-29T14:34:32.822-0400: 6090.968: [GC (Allocation Failure) [PSYoungGen: 875438K->52851K(896512K)] 1254498K->432443K(3452416K), 0.0248489 secs] [Times: user=0.14 sys=0.03, real=0.03 secs] 
2022-06-29T14:34:42.700-0400: 6100.845: [GC (Allocation Failure) [PSYoungGen: 887411K->44353K(900096K)] 1267003K->428131K(3456000K), 0.0244624 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2022-06-29T14:35:33.039-0400: 6151.184: [GC (Allocation Failure) [PSYoungGen: 878913K->43968K(911360K)] 1262691K->428235K(3467264K), 0.0269524 secs] [Times: user=0.16 sys=0.01, real=0.02 secs] 
2022-06-29T14:37:08.786-0400: 6246.931: [GC (Allocation Failure) [PSYoungGen: 893888K->51177K(913920K)] 1278155K->435760K(3469824K), 0.0338010 secs] [Times: user=0.18 sys=0.00, real=0.03 secs] 
2022-06-29T14:37:43.725-0400: 6281.871: [GC (Allocation Failure) [PSYoungGen: 901097K->47421K(928256K)] 1285680K->435833K(3484160K), 0.0524040 secs] [Times: user=0.24 sys=0.05, real=0.06 secs] 
2022-06-29T14:39:08.441-0400: 6366.587: [GC (Allocation Failure) [PSYoungGen: 910068K->43142K(928256K)] 1298479K->432808K(3484160K), 0.0267878 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-06-29T14:42:53.808-0400: 6591.954: [GC (Allocation Failure) [PSYoungGen: 905862K->47608K(933376K)] 1295528K->438239K(3489280K), 0.0395317 secs] [Times: user=0.22 sys=0.01, real=0.04 secs] 
2022-06-29T14:43:20.656-0400: 6618.802: [GC (Allocation Failure) [PSYoungGen: 920056K->58814K(935936K)] 1310687K->450002K(3491840K), 0.0389935 secs] [Times: user=0.19 sys=0.00, real=0.04 secs] 
2022-06-29T14:44:45.265-0400: 6703.411: [GC (Allocation Failure) [PSYoungGen: 931262K->60948K(948224K)] 1322450K->452280K(3504128K), 0.0391305 secs] [Times: user=0.21 sys=0.02, real=0.04 secs] 
2022-06-29T14:45:21.899-0400: 6740.045: [GC (Allocation Failure) [PSYoungGen: 941588K->61656K(952320K)] 1332920K->453148K(3508224K), 0.0259525 secs] [Times: user=0.18 sys=0.00, real=0.02 secs] 
2022-06-29T14:45:51.904-0400: 6770.049: [GC (Allocation Failure) [PSYoungGen: 942296K->71085K(960000K)] 1333788K->463833K(3515904K), 0.0361247 secs] [Times: user=0.18 sys=0.02, real=0.03 secs] 
2022-06-29T14:46:30.620-0400: 6808.765: [GC (Allocation Failure) [PSYoungGen: 956333K->63875K(966144K)] 1349081K->457407K(3522048K), 0.0306654 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
2022-06-29T14:46:48.188-0400: 6826.334: [GC (Allocation Failure) [PSYoungGen: 949123K->66332K(977408K)] 1342655K->466285K(3533312K), 0.0399768 secs] [Times: user=0.22 sys=0.00, real=0.04 secs] 
2022-06-29T14:46:54.996-0400: 6833.141: [GC (Allocation Failure) [PSYoungGen: 960751K->73647K(979968K)] 1360704K->477345K(3535872K), 0.0382884 secs] [Times: user=0.21 sys=0.01, real=0.04 secs] 
2022-06-29T14:47:33.523-0400: 6871.669: [GC (Allocation Failure) [PSYoungGen: 968111K->69788K(1010176K)] 1371809K->477003K(3566080K), 0.0413601 secs] [Times: user=0.23 sys=0.02, real=0.04 secs] 
2022-06-29T14:48:10.540-0400: 6908.686: [GC (Allocation Failure) [PSYoungGen: 989852K->67359K(1012224K)] 1397067K->476430K(3568128K), 0.0273285 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
2022-06-29T14:48:33.347-0400: 6931.492: [GC (Allocation Failure) [PSYoungGen: 987423K->71053K(1033728K)] 1396494K->481136K(3589632K), 0.0408421 secs] [Times: user=0.20 sys=0.02, real=0.04 secs] 
